project_name:000000-空:031005-架构组-技术部,server_num:21,expense:27018.00
project_name:000000-空:031090-平台计费组-运营平台部,server_num:2,expense:982.70
project_name:200001-公司公共- 030643-项目管理部,server_num:2,expense:825.22
project_name:200001-公司公共-030011-法务部,server_num:1,expense:247.38
project_name:200002-征途免费版,server_num:7,expense:7243.15
project_name:200002-征途免费版:200207-征途挂机,server_num:1,expense:472.44
project_name:200008-游戏公共-客服工具,server_num:3,expense:2137.14
project_name:200008-游戏公共-官网论坛,server_num:5,expense:2001.98
project_name:200008-游戏公共-网络安全,server_num:27,expense:12541.36
project_name:200008-游戏公共-登陆计费充值,server_num:73,expense:67218.23
project_name:200008-游戏公共-游戏监控,server_num:13,expense:5445.46
project_name:200008-游戏公共-游戏更新,server_num:27,expense:17969.46
project_name:200008-游戏公共-数据分析,server_num:12,expense:10392.44
project_name:200010-征途怀旧版,server_num:47,expense:44453.69
project_name:200019-征途2,server_num:5,expense:10394.92
project_name:200028-绿色征途,server_num:44,expense:40737.10
project_name:200031-巨人嘟嘟,server_num:31,expense:12844.13
project_name:200033-艾尔之光,server_num:3,expense:2557.50
project_name:200106-仙侠世界,server_num:19,expense:14895.36
project_name:200113-巨人江湖,server_num:7,expense:14228.69
project_name:200116-千军,server_num:11,expense:16531.06
project_name:200117-绿色征途腾讯版,server_num:12,expense:11474.34
project_name:200120-新征途,server_num:35,expense:18667.58
project_name:200132-征途,server_num:9,expense:9442.91
project_name:200135-MONI玩,server_num:9,expense:5175.14
project_name:200146-征途2经典版,server_num:1,expense:2144.89
project_name:200151-武极天下,server_num:10,expense:14362.92
project_name:200152-征途口袋版,server_num:53,expense:39405.96
project_name:200157-星云,server_num:32,expense:21039.08
project_name:200158-大主宰,server_num:45,expense:22373.53
project_name:200164-仙侠世界2,server_num:5,expense:4991.62
project_name:200166-综合运营公共项目,server_num:12,expense:10890.15
project_name:200170-末世战纪,server_num:36,expense:23794.36
project_name:200172-WiFi共享,server_num:41,expense:57889.71
project_name:200173-征途穿越版,server_num:14,expense:13364.10
project_name:200175-征途2动作版,server_num:4,expense:2752.80
project_name:200178-刀剑2-侠魔志,server_num:7,expense:5054.55
project_name:200181-新古龙群侠传,server_num:12,expense:12615.14
project_name:200182-球球大作战,server_num:112,expense:152029.01
project_name:200182-球球大作战-萌球平台,server_num:5,expense:4635.12
project_name:200183-街篮,server_num:1,expense:712.38
project_name:200188-巨人武侠,server_num:9,expense:21412.94
project_name:200190-MUST,server_num:48,expense:24371.89
project_name:200191-五千年,server_num:8,expense:6168.38
project_name:200193-街机三国,server_num:11,expense:4769.04
project_name:200200-BesideM,server_num:2,expense:944.88
project_name:200204-犬夜叉,server_num:3,expense:2171.41
project_name:200205-星际冲突,server_num:3,expense:6375.15
project_name:200206-天书奇谭,server_num:1,expense:292.64
project_name:200214-球球大爆破,server_num:3,expense:2662.59
project_name:200221-英雄大陆,server_num:10,expense:2758.20
project_name:200222-吞食星球,server_num:3,expense:2489.70
project_name:200227-秘境物语,server_num:2,expense:3907.55
project_name:200228-征途2手机版,server_num:4,expense:2681.50
project_name:200229-怪物军团,server_num:2,expense:1424.76
project_name:200231-航母争霸,server_num:1,expense:1395.00
project_name:200233-征途3,server_num:3,expense:4169.81
project_name:3D萌萌消,server_num:3,expense:1702.52
project_name:admin,server_num:14,expense:4596.48
project_name:坤鹏融资租赁,server_num:3,expense:3750.07
project_name:塔防,server_num:6,expense:1612.00
project_name:上复旦大学,server_num:2,expense:644.80
project_name:上海可酷,server_num:3,expense:1402.13
project_name:上海吉展,server_num:4,expense:689.44
project_name:上海破破飞网络,server_num:1,expense:645.11
project_name:上海绿岸,server_num:6,expense:2776.20
project_name:上海绿岸网络科技,server_num:9,expense:4558.81
project_name:上海炎锤网络,server_num:1,expense:311.24
project_name:上海益盟,server_num:4,expense:2085.34
project_name:上海鸿澄信息,server_num:1,expense:168.64
project_name:上海龙照,server_num:1,expense:672.08
project_name:上海昊恕信息,server_num:1,expense:454.46
project_name:云上云CDN,server_num:20,expense:14262.39
project_name:北京博睿,server_num:138,expense:156533.61
project_name:北邮星云,server_num:2,expense:678.59
project_name:光荣使命,server_num:5,expense:3262.44
project_name:纪学锋项目,server_num:2,expense:644.80
project_name:绿巨人,server_num:29,expense:43737.28
project_name:表情,server_num:2,expense:1334.86
project_name:鱼鹰软件,server_num:11,expense:3713.69
project_name:鸿游,server_num:8,expense:1265.66
project_name:脑白金,server_num:9,expense:6030.12
project_name:金融分析-开发环境,server_num:8,expense:25313.05
project_name:金融分析-生产环境,server_num:8,expense:18112.99
project_name:huzhimeng_test,server_num:6,expense:3977.78
project_name:team-test,server_num:1,expense:116.87
project_name:test,server_num:9,expense:2747.72
project_name:UCloud,server_num:1,expense:172.36
project_name:yanghua_project,server_num:18,expense:7488.38
project_name:杭州雪狼,server_num:31,expense:27343.86
project_name:栖影创作CHIEEN,server_num:1,expense:824.91
project_name:深圳中青宝,server_num:4,expense:1499.78
project_name:新研发项目,server_num:2,expense:2362.51
project_name:新锐营(上海),server_num:6,expense:2025.54
